measure,date,dateTime,value,completeness,quality
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-05,1987-07-05T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-06,1987-07-06T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-07,1987-07-07T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-08,1987-07-08T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-09,1987-07-09T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-10,1987-07-10T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-11,1987-07-11T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-12,1987-07-12T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-13,1987-07-13T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-14,1987-07-14T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-15,1987-07-15T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-16,1987-07-16T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-17,1987-07-17T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-18,1987-07-18T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-19,1987-07-19T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-20,1987-07-20T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-21,1987-07-21T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-22,1987-07-22T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-23,1987-07-23T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-24,1987-07-24T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-25,1987-07-25T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-26,1987-07-26T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-27,1987-07-27T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-28,1987-07-28T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-29,1987-07-29T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-30,1987-07-30T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-07-31,1987-07-31T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-08-01,1987-08-01T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-08-02,1987-08-02T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-08-03,1987-08-03T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-08-04,1987-08-04T09:00:00,,Incomplete,Missing
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},1987-08-05,1987-08-05T09:00:00,,Incomplete,Missing
